rating,review_count,isbn,booktype,author_url,year,dir,rating_count,name,author,genres
4.4,136455,0439023483,good_reads:book,https://www.goodreads.com/author/show/153394.Suzanne_Collins,2008,dir01/2767052-the-hunger-games.html,2958974,"The Hunger Games (The Hunger Games, #1)",Suzanne_Collins,young-adult|science-fiction|dystopia|fantasy|science-fiction|romance|adventure|book-club|young-adult|teen|apocalyptic|post-apocalyptic|action
4.41,16648,0439358078,good_reads:book,https://www.goodreads.com/author/show/1077326.J_K_Rowling,2003,dir01/2.Harry_Potter_and_the_Order_of_the_Phoenix.html,1284478,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J_K_Rowling,fantasy|young-adult|fiction|fantasy|magic|childrens|adventure|science-fiction-fantasy
3.56,85746,0316015849,good_reads:book,https://www.goodreads.com/author/show/941441.Stephenie_Meyer,2005,dir01/41865.Twilight.html,2579564,"Twilight (Twilight, #1)",Stephenie_Meyer,young-adult|fantasy|romance|paranormal|vampires|fiction|fantasy|paranormal|romance|paranormal-romance|fantasy|supernatural|young-adult|teen|fantasy|urban-fantasy
4.23,47906,0061120081,good_reads:book,https://www.goodreads.com/author/show/1825.Harper_Lee,1960,dir01/2657.To_Kill_a_Mockingbird.html,2078123,To Kill a Mockingbird,Harper_Lee,classics|fiction|historical-fiction|academic|school|literature|young-adult|academic|read-for-school|novels|book-club|young-adult|high-school
4.23,34772,0679783261,good_reads:book,https://www.goodreads.com/author/show/1265.Jane_Austen,1813,dir01/1885.Pride_and_Prejudice.html,1388992,Pride and Prejudice,Jane_Austen,classics|fiction|romance|historical-fiction|literature|novels|european-literature|british-literature|classics|classic-literature|adult|academic|school
4.25,12363,0446675539,good_reads:book,https://www.goodreads.com/author/show/11081.Margaret_Mitchell,1936,dir01/18405.Gone_with_the_Wind.html,645470,Gone with the Wind,Margaret_Mitchell,classics|historical-fiction|fiction|romance|literature|romance|historical-romance|war|military-history|civil-war
4.22,7205,0066238501,good_reads:book,https://www.goodreads.com/author/show/1069006.C_S_Lewis,1949,dir01/11127.The_Chronicles_of_Narnia.html,286677,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",C_S_Lewis,classics|young-adult|childrens|christian|adventure|science-fiction-fantasy|fantasy|religion|fantasy|magic|literature
4.38,10902,0060256656,good_reads:book,https://www.goodreads.com/author/show/435477.Shel_Silverstein,1964,dir01/370493.The_Giving_Tree.html,502891,The Giving Tree,Shel_Silverstein,childrens|young-adult|childrens|picture-books|fantasy|inspirational|classics|academic|school|philosophy|childrens|juvenile|short-stories
3.79,20670,0452284244,good_reads:book,https://www.goodreads.com/author/show/3706.George_Orwell,1945,dir01/7613.Animal_Farm.html,1364879,Animal Farm,George_Orwell,classics|fiction|science-fiction|dystopia|literature|fantasy|academic|school|politics|science-fiction|academic|read-for-school|novels
4.18,12302,0345391802,good_reads:book,https://www.goodreads.com/author/show/4.Douglas_Adams,1979,dir01/11.The_Hitchhiker_s_Guide_to_the_Galaxy.html,724713,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas_Adams,science-fiction|humor|fantasy|classics|humor|comedy|science-fiction-fantasy|humor|funny
4.03,20937,0739326228,good_reads:book,https://www.goodreads.com/author/show/614.Arthur_Golden,1997,dir01/930.Memoirs_of_a_Geisha.html,1042679,Memoirs of a Geisha,Arthur_Golden,fiction|historical-fiction|romance|cultural|japan|classics|book-club|adult|contemporary|adult-fiction|novels
3.72,34959,0307277674,good_reads:book,https://www.goodreads.com/author/show/630.Dan_Brown,2003,dir01/968.The_Da_Vinci_Code.html,1220657,"The Da Vinci Code (Robert Langdon, #2)",Dan_Brown,mystery|thriller|suspense|historical-fiction|adventure|thriller|mystery-thriller|novels|adult|mystery|crime|adult-fiction
4.36,69524,0375831002,good_reads:book,https://www.goodreads.com/author/show/11466.Markus_Zusak,2005,dir01/19063.The_Book_Thief.html,675431,The Book Thief,Markus_Zusak,historical-fiction|young-adult|fiction|book-club|world-war-ii|holocaust|war|history|world-war-ii|classics|young-adult|teen|fantasy
4.05,5516,0451527747,good_reads:book,https://www.goodreads.com/author/show/8164.Lewis_Carroll,1865,dir01/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass.html,301702,Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis_Carroll,classics|childrens|young-adult|literature|adventure|novels|european-literature|british-literature|literature|19th-century|classics|classic-literature|childrens|juvenile
3.72,10156,0743477111,good_reads:book,https://www.goodreads.com/author/show/947.William_Shakespeare,1597,dir01/18135.Romeo_and_Juliet.html,1211146,Romeo and Juliet,William_Shakespeare,classics|plays|fiction|romance|academic|school|drama|literature|academic|read-for-school|young-adult|high-school
4.09,10082,0451525264,good_reads:book,https://www.goodreads.com/author/show/13661.Victor_Hugo,1862,dir01/24280.Les_Mis_rables.html,418004,Les Mis̩rables,Victor_Hugo,classics|historical-fiction|literature|cultural|france|novels|romance|european-literature|french-literature|classics|classic-literature|literature|19th-century|drama
3.92,38061,,good_reads:book,https://www.goodreads.com/author/show/498072.Audrey_Niffenegger,2003,dir01/18619684-the-time-traveler-s-wife.html,927254,The Time Traveler's Wife,Audrey_Niffenegger,fiction|romance|fantasy|science-fiction|time-travel|science-fiction|book-club|contemporary|womens-fiction|chick-lit|adult|adult-fiction
4.58,1314,0345538374,good_reads:book,https://www.goodreads.com/author/show/656983.J_R_R_Tolkien,1973,dir01/30.J_R_R_Tolkien_4_Book_Boxed_Set.html,68495,J.R.R. Tolkien 4-Book Boxed Set,J_R_R_Tolkien,fantasy|classics|science-fiction-fantasy|adventure|fantasy|epic-fantasy|literature|young-adult|epic|fantasy|high-fantasy|novels
3.6,18039,0140283331,good_reads:book,https://www.goodreads.com/author/show/306.William_Golding,1954,dir01/7624.Lord_of_the_Flies.html,1232126,Lord of the Flies,William_Golding,classics|academic|school|literature|science-fiction|dystopia|academic|read-for-school|novels|young-adult|adventure|young-adult|high-school|horror
4.28,30815,0812550706,good_reads:book,https://www.goodreads.com/author/show/589.Orson_Scott_Card,1985,dir01/375802.Ender_s_Game.html,624730,"Ender's Game (The Ender Quintet, #1)",Orson_Scott_Card,science-fiction|young-adult|fantasy|classics|science-fiction|dystopia|book-club|science-fiction-fantasy|war|adventure|novels
4.02,11942,0375751513,good_reads:book,https://www.goodreads.com/author/show/3565.Oscar_Wilde,1890,dir01/5297.The_Picture_of_Dorian_Gray.html,409478,The Picture of Dorian Gray,Oscar_Wilde,classics|fiction|horror|literature|fantasy|gothic|novels|literature|19th-century|book-club|european-literature|british-literature
4.14,8681,0143058142,good_reads:book,https://www.goodreads.com/author/show/3137322.Fyodor_Dostoyevsky,1866,dir01/7144.Crime_and_Punishment.html,294297,Crime and Punishment,Fyodor_Dostoyevsky,classics|cultural|russia|literature|literature|russian-literature|mystery|crime|philosophy|academic|school|literature|19th-century|novels|classics|classic-literature
4.11,8897,0064410935,good_reads:book,https://www.goodreads.com/author/show/988142.E_B_White,1952,dir01/24178.Charlotte_s_Web.html,662707,Charlotte's Web,E_B_White,childrens|fiction|classics|young-adult|animals|childrens|juvenile|fantasy|academic|school|childrens|middle-grade|childrens|chapter-books
4.2,8678,0451528824,good_reads:book,https://www.goodreads.com/author/show/5350.L_M_Montgomery,1908,dir01/8127.Anne_of_Green_Gables.html,393594,"Anne of Green Gables (Anne of Green Gables, #1)",L_M_Montgomery,fiction|young-adult|classics|childrens|historical-fiction|cultural|canada|literature|childrens|juvenile|romance|young-adult|coming-of-age
3.75,36955,0061122416,good_reads:book,https://www.goodreads.com/author/show/566.Paulo_Coelho,1988,dir01/865.The_Alchemist.html,876518,The Alchemist,Paulo_Coelho,fiction|classics|fantasy|philosophy|book-club|novels|spirituality|literature|inspirational|adventure
3.94,18581,0007491565,good_reads:book,https://www.goodreads.com/author/show/1630.Ray_Bradbury,1953,dir01/17470674-fahrenheit-451.html,783133,Fahrenheit 451,Ray_Bradbury,classics|fiction|science-fiction|science-fiction|dystopia|literature|academic|school|fantasy|science-fiction-fantasy
4.43,112279,0525478817,good_reads:book,https://www.goodreads.com/author/show/1406384.John_Green,2012,dir01/11870085-the-fault-in-our-stars.html,1150626,The Fault in Our Stars,John_Green,young-adult|book-club|drama
3.79,15833,0142000671,good_reads:book,https://www.goodreads.com/author/show/585.John_Steinbeck,1937,dir01/890.Of_Mice_and_Men.html,1070755,Of Mice and Men,John_Steinbeck,fiction|classics|academic|school|literature|historical-fiction|academic|read-for-school|novels|young-adult|high-school|literature|american|classics|classic-literature
4.04,13214,0440498058,good_reads:book,https://www.goodreads.com/author/show/106.Madeleine_L_Engle,1962,dir01/18131.A_Wrinkle_in_Time.html,420001,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",Madeleine_L_Engle,fantasy|young-adult|classics|science-fiction|childrens|science-fiction-fantasy|science-fiction|time-travel|adventure|childrens|middle-grade|childrens|juvenile
3.94,11736,0393970124,good_reads:book,https://www.goodreads.com/author/show/6988.Bram_Stoker,1897,dir01/17245.Dracula.html,429079,Dracula,Bram_Stoker,classics|horror|fiction|fantasy|paranormal|vampires|gothic|literature|fantasy|paranormal|fantasy|supernatural|novels
4.24,10614,0345418263,good_reads:book,https://www.goodreads.com/author/show/12521.William_Goldman,1973,dir01/21787.The_Princess_Bride.html,457219,The Princess Bride,William_Goldman,fantasy|classics|romance|humor|young-adult|adventure|science-fiction-fantasy|fantasy|fairy-tales|humor|comedy|book-club
3.93,12622,0060929871,good_reads:book,https://www.goodreads.com/author/show/3487.Aldous_Huxley,1932,dir01/5129.Brave_New_World.html,751377,Brave New World,Aldous_Huxley,classics|science-fiction|science-fiction|dystopia|academic|school|novels|fantasy|science-fiction-fantasy|philosophy|young-adult|high-school|european-literature|british-literature
4.44,70247,0399155341,good_reads:book,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett,2009,dir01/4667024-the-help.html,1091909,The Help,Kathryn_Stockett,book-club|historical-fiction|adult-fiction|womens-fiction|chick-lit|drama|american|southern|classics|contemporary|realistic-fiction|novels
3.99,14777,0060531045,good_reads:book,https://www.goodreads.com/author/show/13450.Gabriel_Garc_a_M_rquez,1967,dir01/320.One_Hundred_Years_of_Solitude.html,419719,One Hundred Years of Solitude,Gabriel_Garc_a_M_rquez,fiction|classics|magical-realism|literature|novels|fantasy|historical-fiction|european-literature|spanish-literature|book-club|cultural|latin-american
4.07,22713,0142437204,good_reads:book,https://www.goodreads.com/author/show/1036615.Charlotte_Bront_,1847,dir01/10210.Jane_Eyre.html,893232,Jane Eyre,Charlotte_Bront_,fiction|romance|literature|historical-fiction|gothic|academic|school|novels|classics|classic-literature|european-literature|british-literature|literature|19th-century
4.23,6228,0099408392,good_reads:book,https://www.goodreads.com/author/show/4489.Maurice_Sendak,1963,dir01/19543.Where_the_Wild_Things_Are.html,426455,Where the Wild Things Are,Maurice_Sendak,childrens|childrens|picture-books|classics|fiction|fantasy|adventure|young-adult|kids|childrens|juvenile|animals
3.78,9056,0142437174,good_reads:book,https://www.goodreads.com/author/show/1244.Mark_Twain,1884,dir01/2956.The_Adventures_of_Huckleberry_Finn.html,824146,The Adventures of Huckleberry Finn,Mark_Twain,classics|fiction|young-adult|historical-fiction|academic|school|adventure|novels|childrens|academic|read-for-school|literature|american
3.72,31131,0316166685,good_reads:book,https://www.goodreads.com/author/show/316.Alice_Sebold,2002,dir01/12232938-the-lovely-bones.html,1190963,The Lovely Bones,Alice_Sebold,fiction|mystery|young-adult|contemporary|fantasy|book-club|mystery|crime|adult|adult-fiction|drama
4.3,33912,1594489505,good_reads:book,https://www.goodreads.com/author/show/569.Khaled_Hosseini,2007,dir01/128029.A_Thousand_Splendid_Suns.html,563920,A Thousand Splendid Suns,Khaled_Hosseini,fiction|historical-fiction|book-club|contemporary|novels|adult-fiction|adult|literature|drama|war
4.09,8839,0517189607,good_reads:book,https://www.goodreads.com/author/show/2041.Frances_Hodgson_Burnett,1911,dir01/2998.The_Secret_Garden.html,469736,The Secret Garden,Frances_Hodgson_Burnett,historical-fiction|childrens|young-adult|literature|classics|childrens|juvenile|childrens|middle-grade|european-literature|british-literature|classics|classic-literature|fiction
4.05,50663,1565125606,good_reads:book,https://www.goodreads.com/author/show/24556.Sara_Gruen,2006,dir01/43641.Water_for_Elephants.html,885435,Water for Elephants,Sara_Gruen,book-club|contemporary|fiction|literary-fiction|classics|media-tie-in|movies|historical-fiction|cultural|canada|modern|romance|love-story
4.29,5426,0394800168,good_reads:book,https://www.goodreads.com/author/show/61105.Dr_Seuss,1960,dir01/23772.Green_Eggs_and_Ham.html,362840,Green Eggs and Ham,Dr_Seuss,childrens|childrens|picture-books|classics|poetry|humor|fantasy|kids|young-adult|food-and-drink|food|childrens|juvenile
3.79,18287,0393978893,good_reads:book,https://www.goodreads.com/author/show/4191.Emily_Bront_,1847,dir01/6185.Wuthering_Heights.html,685269,Wuthering Heights,Emily_Bront_,classics|romance|literature|gothic|historical-fiction|novels|literature|19th-century|classics|classic-literature|academic|school
4.34,82098,0062024035,good_reads:book,https://www.goodreads.com/author/show/4039811.Veronica_Roth,2011,dir01/13335037-divergent.html,1127983,"Divergent (Divergent, #1)",Veronica_Roth,young-adult|science-fiction|dystopia|fiction|fantasy|science-fiction|romance
3.76,9390,0141439602,good_reads:book,https://www.goodreads.com/author/show/239579.Charles_Dickens,1859,dir01/1953.A_Tale_of_Two_Cities.html,509640,A Tale of Two Cities,Charles_Dickens,classics|fiction|historical-fiction|literature|academic|school|novels|classics|classic-literature|european-literature|british-literature|literature|19th-century|cultural|france
