id,terminal,station,municipal,lat,lng,status
3,B32006,Colleges of the Fenway,Boston,42.340021,-71.100812,Existing
4,C32000,Tremont St. at Berkeley St.,Boston,42.345392,-71.069616,Existing
5,B32012,Northeastern U / North Parking Lot,Boston,42.341814,-71.090179,Existing
6,D32000,Cambridge St. at Joy St.,Boston,42.361285,-71.06514,Existing
7,A32000,Fan Pier,Boston,42.353412,-71.044624,Existing
8,A32001,Union Square - Brighton Ave. at Cambridge St.,Boston,42.353334,-71.137313,Existing
9,A32002,Agganis Arena - 925 Comm Ave.,Boston,42.351313,-71.116174,Existing
10,A32003,B.U. Central - 725 Comm. Ave.,Boston,42.350075,-71.105884,Existing
11,A32004,Longwood Ave / Binney St,Boston,42.338629,-71.1065,Existing
12,B32002,Ruggles Station / Columbus Ave.,Boston,42.335911,-71.088496,Existing
13,C32002,Boston Medical Center - 721 Mass. Ave.,Boston,42.334057,-71.07403,Removed
14,B32003,HMS / HSPH - Ave. Louis Pasteur at Longwood Ave.,Boston,42.337171,-71.102797,Existing
15,A32005,Harvard Real Estate - Brighton Mills - 370 Western Ave,Boston,42.361667,-71.13802,Existing
16,C32003,Back Bay / South End Station,Boston,42.347433,-71.076163,Existing
17,A32006,Harvard University Housing - 111 Western Ave. at Soldiers Field Park,Boston,42.365074,-71.119581,Existing
18,A32007,Harvard Real Estate - 219 Western Ave. at North Harvard St.,Boston,42.36337,-71.129791,Existing
19,A32008,Buswell Park,Boston,42.347527,-71.105828,Existing
20,B32004,Aquarium Station - 200 Atlantic Ave.,Boston,42.35977,-71.051601,Existing
21,C32007,Prudential Center / Belvidere,Boston,42.345959,-71.082578,Existing
22,A32010,South Station - 700 Atlantic Ave.,Boston,42.352175,-71.055547,Existing
23,B32008,Mayor Thomas M. Menino - Government Center,Boston,42.359677,-71.059364,Removed
24,B32007,Seaport Square - Seaport Blvd. at Boston Wharf,Boston,42.351821,-71.045461,Existing
25,A32009,Tremont St / W Newton St,Boston,42.341332,-71.076847,Existing
26,D32002,Washington St. at Waltham St.,Boston,42.341522,-71.068922,Existing
27,C32001,Roxbury Crossing Station,Boston,42.331567,-71.094734,Existing
29,A32011,Innovation Lab - 125 Western Ave. at Batten Way,Boston,42.363732,-71.124565,Existing
30,B32013,Brigham Cir / Huntington Ave,Boston,42.334073,-71.105221,Existing
