TimeMin,PickupCount
860.0,33.0
17.0,75.0
486.0,13.0
300.0,5.0
385.0,10.0
639.0,37.0
819.0,28.0
883.0,35.0
690.0,27.0
68.0,95.0
40.0,24.0
442.0,22.0
1077.0,69.0
727.0,22.0
800.0,34.0
1396.0,79.0
709.0,33.0
148.0,7.0
1072.0,19.0
851.0,13.0
1365.0,46.0
1279.0,31.0
863.0,38.0
124.0,46.0
1123.0,92.0
633.0,35.0
342.0,6.0
381.0,8.0
740.0,30.0
1029.0,40.0
1236.0,38.0
1258.0,32.0
198.0,8.0
679.0,33.0
198.0,8.0
745.0,24.0
4.0,58.0
1260.0,25.0
139.0,10.0
94.0,10.0
1061.0,42.0
1080.0,58.0
854.0,36.0
1128.0,53.0
108.0,62.0
460.0,8.0
501.0,13.0
1001.0,46.0
496.0,12.0
1310.0,47.0
522.0,18.0
144.0,49.0
921.0,46.0
1174.0,74.0
843.0,31.0
385.0,7.0
7.0,16.0
1377.0,67.0
416.0,15.0
1326.0,33.0
803.0,24.0
327.0,6.0
553.0,38.0
1028.0,20.0
765.0,43.0
754.0,30.0
932.0,49.0
556.0,44.0
68.0,22.0
1218.0,53.0
1382.0,43.0
1109.0,56.0
693.0,21.0
1231.0,41.0
683.0,12.0
636.0,29.0
511.0,15.0
427.0,22.0
985.0,73.0
1358.0,48.0
191.0,6.0
794.0,34.0
508.0,44.0
967.0,39.0
1372.0,45.0
92.0,55.0
206.0,6.0
1065.0,66.0
1312.0,49.0
1033.0,37.0
228.0,7.0
178.0,10.0
1225.0,47.0
623.0,38.0
1255.0,49.0
1093.0,29.0
1341.0,74.0
142.0,5.0
1047.0,42.0
798.0,33.0
43.0,16.0
239.0,10.0
743.0,37.0
1226.0,49.0
312.0,4.0
118.0,14.0
1281.0,40.0
1058.0,46.0
1422.0,30.0
1090.0,57.0
693.0,29.0
1235.0,70.0
1257.0,57.0
365.0,8.0
245.0,25.0
1340.0,29.0
1075.0,54.0
492.0,40.0
607.0,18.0
184.0,51.0
511.0,15.0
231.0,12.0
747.0,32.0
215.0,5.0
651.0,28.0
1187.0,48.0
745.0,19.0
384.0,9.0
1380.0,37.0
655.0,23.0
403.0,16.0
149.0,19.0
896.0,36.0
107.0,9.0
689.0,34.0
407.0,18.0
284.0,1.0
227.0,51.0
968.0,34.0
805.0,29.0
239.0,31.0
211.0,8.0
1154.0,41.0
916.0,36.0
999.0,50.0
45.0,33.0
529.0,38.0
586.0,34.0
926.0,26.0
605.0,23.0
477.0,44.0
795.0,27.0
82.0,20.0
652.0,40.0
1083.0,43.0
496.0,10.0
707.0,43.0
728.0,29.0
298.0,75.0
1017.0,49.0
520.0,39.0
383.0,13.0
356.0,9.0
990.0,42.0
730.0,37.0
1106.0,81.0
601.0,24.0
524.0,47.0
496.0,35.0
361.0,6.0
647.0,30.0
1425.0,33.0
251.0,7.0
1438.0,19.0
681.0,22.0
814.0,29.0
645.0,22.0
957.0,25.0
243.0,10.0
468.0,31.0
849.0,44.0
68.0,17.0
848.0,31.0
662.0,29.0
69.0,55.0
567.0,25.0
574.0,35.0
491.0,7.0
557.0,19.0
504.0,5.0
43.0,60.0
816.0,31.0
392.0,7.0
81.0,26.0
1026.0,54.0
834.0,30.0
483.0,15.0
1065.0,47.0
214.0,10.0
262.0,8.0
1424.0,19.0
1021.0,44.0
1002.0,61.0
1317.0,21.0
833.0,22.0
1215.0,40.0
287.0,2.0
797.0,45.0
989.0,51.0
1282.0,43.0
645.0,37.0
499.0,36.0
337.0,17.0
1012.0,50.0
160.0,17.0
250.0,16.0
151.0,3.0
95.0,72.0
1041.0,59.0
1140.0,62.0
1413.0,60.0
620.0,33.0
825.0,35.0
543.0,40.0
256.0,21.0
52.0,21.0
1077.0,49.0
511.0,17.0
486.0,13.0
280.0,31.0
388.0,10.0
902.0,33.0
1352.0,75.0
507.0,41.0
107.0,34.0
942.0,66.0
885.0,44.0
469.0,13.0
1428.0,65.0
19.0,61.0
1326.0,46.0
1032.0,17.0
1318.0,28.0
1383.0,26.0
882.0,41.0
383.0,10.0
1357.0,26.0
1327.0,43.0
495.0,19.0
1338.0,50.0
925.0,43.0
559.0,33.0
1277.0,41.0
1114.0,61.0
784.0,29.0
440.0,27.0
1014.0,42.0
631.0,31.0
367.0,13.0
777.0,31.0
741.0,36.0
651.0,32.0
612.0,37.0
618.0,33.0
200.0,18.0
1265.0,41.0
748.0,37.0
302.0,7.0
1129.0,62.0
108.0,18.0
701.0,25.0
373.0,12.0
634.0,35.0
242.0,58.0
396.0,10.0
828.0,41.0
369.0,15.0
379.0,7.0
1203.0,57.0
625.0,29.0
337.0,16.0
525.0,2.0
887.0,42.0
44.0,27.0
1138.0,75.0
599.0,43.0
1185.0,10.0
43.0,18.0
1397.0,23.0
329.0,13.0
231.0,101.0
673.0,31.0
1025.0,64.0
137.0,56.0
764.0,35.0
294.0,6.0
831.0,44.0
122.0,19.0
520.0,12.0
1083.0,46.0
394.0,5.0
1229.0,69.0
1142.0,63.0
722.0,40.0
1055.0,47.0
260.0,15.0
1132.0,41.0
1311.0,38.0
1049.0,47.0
803.0,22.0
1324.0,40.0
175.0,6.0
770.0,34.0
440.0,11.0
230.0,5.0
38.0,20.0
934.0,42.0
300.0,11.0
885.0,38.0
499.0,42.0
687.0,34.0
732.0,31.0
786.0,35.0
263.0,32.0
312.0,4.0
1294.0,43.0
31.0,21.0
468.0,16.0
1262.0,65.0
1127.0,50.0
861.0,33.0
1348.0,65.0
867.0,35.0
414.0,12.0
404.0,15.0
6.0,63.0
987.0,8.0
492.0,42.0
7.0,44.0
870.0,31.0
1421.0,24.0
714.0,20.0
98.0,10.0
663.0,32.0
337.0,10.0
192.0,13.0
749.0,32.0
739.0,36.0
4.0,51.0
1149.0,69.0
789.0,16.0
1410.0,40.0
560.0,9.0
1230.0,51.0
519.0,40.0
1363.0,39.0
86.0,18.0
