"id","health","partyid","age","sex","sexornt","educ","marital","race","income"
1,"good","rep",43,"male","bisexual/other",14,"never married","white",NA
2,"excellent","dem",74,"female","hetero",10,"no longer married","white",NA
5,"excellent","rep",71,"male","hetero",18,"no longer married","black",NA
6,"good","dem",67,"female","bisexual/other",16,"no longer married","white",NA
7,"good","dem",59,"female","bisexual/other",13,"no longer married","black",18.75
8,"excellent","rep",43,"male","hetero",12,"never married","white",37.5
11,"excellent","rep",59,"male","bisexual/other",19,"no longer married","white",120
13,"poor","dem",61,"female","bisexual/other",13,"no longer married","white",NA
14,"excellent","dem",44,"male","hetero",16,"married","black",100
16,"good","other",75,"female","bisexual/other",12,"no longer married","white",11.25
18,"excellent","other",30,"female","bisexual/other",16,"married","white",NA
19,"excellent","dem",40,"female","hetero",20,"no longer married","white",67.5
21,"excellent","rep",34,"female","bisexual/other",15,"married","white",37.5
22,"good","rep",29,"female","hetero",14,"never married","other",NA
24,"excellent","dem",37,"male","bisexual/other",12,"never married","white",45
25,"good","rep",56,"female","bisexual/other",16,"married","white",18.75
26,"excellent","rep",82,"male","bisexual/other",8,"no longer married","white",NA
27,"good","dem",68,"female","bisexual/other",12,"no longer married","white",37.5
28,"excellent","dem",42,"female","bisexual/other",9,"never married","black",NA
30,"excellent","rep",20,"male","hetero",14,"never married","white",13.75
32,"fair","rep",89,"male","bisexual/other",8,"married","white",NA
34,"fair","dem",56,"female","bisexual/other",16,"no longer married","white",120
36,"excellent","rep",65,"male","bisexual/other",18,"married","white",100
37,"fair","dem",71,"female","bisexual/other",20,"no longer married","white",NA
38,"good","dem",34,"male","bisexual/other",20,"never married","white",45
40,"good","other",50,"female","bisexual/other",12,NA,"black",NA
42,"good","dem",52,"male","bisexual/other",12,"never married","white",37.5
44,"excellent","dem",60,"male","hetero",18,"married","other",NA
45,"excellent","dem",62,"female","hetero",16,"no longer married","white",67.5
50,"good","dem",67,"female","bisexual/other",16,"no longer married","white",NA
51,"excellent","other",22,"male","hetero",14,"never married","white",NA
52,"good","dem",42,"female","bisexual/other",12,"no longer married","white",27.5
54,"good","other",33,"female","hetero",18,"married","other",55
56,"fair","rep",55,"male","hetero",14,"no longer married","white",140
58,"good","dem",45,"female","bisexual/other",14,"never married","black",9
59,"fair","dem",23,"male","bisexual/other",11,"never married","white",67.5
61,"fair","dem",27,"female","bisexual/other",13,"married","black",3.5
63,"good","dem",41,"female","bisexual/other",16,"never married","black",55
64,"excellent","dem",64,"female","bisexual/other",13,"no longer married","black",NA
66,"excellent","dem",79,"male","bisexual/other",20,"no longer married","black",NA
67,"fair","dem",34,"male","bisexual/other",14,"married","white",55
68,"good","dem",59,"female","hetero",14,"no longer married","black",NA
69,"excellent","dem",32,"female","bisexual/other",19,"never married","black",140
73,"good","other",28,"female","bisexual/other",16,"married","other",NA
74,"good","dem",42,"female","bisexual/other",20,"married","white",32.5
75,"fair","other",21,"male","hetero",14,"never married","white",7.5
76,"excellent","other",33,"female","bisexual/other",14,"never married","black",37.5
77,"excellent","other",37,"female","hetero",16,"married","white",140
79,"good","other",47,"female","bisexual/other",14,"married","other",NA
81,"good","dem",71,"female","bisexual/other",16,"married","black",NA
82,"good","dem",42,"female","bisexual/other",12,"married","black",NA
84,"excellent","dem",40,"female","bisexual/other",13,"married","white",45
85,"good","rep",70,"male","hetero",12,"no longer married","white",21.25
88,"good","dem",46,"male","hetero",16,"married","white",200
92,"excellent","dem",77,"female","bisexual/other",19,"married","white",18.75
95,"fair","dem",30,"female","bisexual/other",16,"never married","black",100
96,"fair","dem",22,"male","hetero",14,"never married","black",NA
97,"good","dem",69,"female","hetero",13,"married","black",NA
98,"good","dem",45,"male","bisexual/other",16,"no longer married","black",55
99,"excellent","dem",32,"female","bisexual/other",12,"married","other",NA
100,"good","rep",60,"female","hetero",4,"no longer married","white",NA
101,"fair","rep",48,"male","bisexual/other",12,"no longer married","other",55
102,"poor","dem",81,"female","bisexual/other",12,"no longer married","other",NA
103,"excellent","dem",50,"male","hetero",18,"married","other",120
104,"fair","rep",78,"female","hetero",14,"married","white",NA
106,"good","rep",60,"male","bisexual/other",14,"never married","white",100
109,"good","other",54,"female","hetero",16,"married","white",NA
111,"good","dem",55,"female","hetero",14,"no longer married","white",100
116,"good","other",35,"male","bisexual/other",17,"married","white",NA
118,"fair","other",42,"female","hetero",14,"married","white",NA
119,"excellent","rep",48,"female","hetero",13,"married","white",13.75
120,"good","rep",32,"male","bisexual/other",13,"never married","white",45
121,"good","rep",56,"female","hetero",12,"married","white",NA
122,"good","other",61,"female","bisexual/other",12,"married","white",45
123,"good","dem",76,"female","bisexual/other",16,"no longer married","white",11.25
124,"good","dem",59,"female","hetero",16,"married","white",32.5
125,"good","dem",69,"male","bisexual/other",16,"never married","white",32.5
127,"good","rep",68,"female","bisexual/other",20,"married","white",82.5
128,"excellent","dem",39,"female","hetero",16,"never married","white",NA
129,"good","dem",38,"male","bisexual/other",18,"married","white",45
130,"good","dem",39,"female","hetero",18,"never married","white",160
132,"excellent","dem",41,"female","bisexual/other",20,"married","white",NA
134,"fair","dem",69,"male","hetero",15,"married","white",160
137,"fair","other",33,"male","bisexual/other",16,"never married","other",9
138,"excellent","other",35,"female","hetero",16,"married","other",45
140,"good","rep",25,"female","bisexual/other",15,"never married","white",11.25
141,"good","rep",55,"male","hetero",14,"no longer married","white",45
143,"fair","other",49,"male","bisexual/other",11,"no longer married","other",NA
146,"fair","rep",19,"male","bisexual/other",12,"never married","black",NA
149,"good","other",28,"male","bisexual/other",14,"never married","white",NA
151,"good","dem",39,"female","hetero",16,"never married","black",67.5
152,"good","dem",77,"female","hetero",13,"no longer married","black",NA
154,"fair","other",46,"female","hetero",16,"no longer married","other",18.75
156,"good","dem",35,"female","hetero",11,"married","other",2
157,"fair","rep",58,"female","bisexual/other",12,"no longer married","white",27.5
158,"fair","other",20,"female","bisexual/other",14,"never married","other",6.5
160,"fair","other",51,"female","bisexual/other",2,"no longer married","white",13.75
161,"excellent","dem",18,"female","hetero",11,"never married","other",NA
163,"good","dem",41,"female","bisexual/other",12,"married","other",37.5
164,"fair","dem",51,"female","hetero",15,"married","other",NA
165,"good","other",41,"female","bisexual/other",6,"married","white",NA
167,"fair","dem",43,"male","bisexual/other",9,"never married","white",NA
168,"good","other",53,"male","bisexual/other",16,"never married","other",NA
169,"poor","dem",46,"male","hetero",18,"never married","white",55
170,"good","dem",36,"male","bisexual/other",13,"married","white",55
171,"fair","rep",19,"male","hetero",12,"never married","white",7.5
173,"good","rep",60,"female","hetero",13,"no longer married","white",45
175,"excellent","dem",36,"male","hetero",20,"married","white",200
177,"good","dem",42,"female","bisexual/other",18,"married","white",160
178,"good","rep",61,"male","hetero",14,"no longer married","white",140
180,"good","other",52,"male","bisexual/other",14,"never married","white",NA
183,"fair","dem",36,"male","bisexual/other",20,"never married","white",67.5
185,"excellent","dem",46,"male","bisexual/other",16,"no longer married","other",140
186,"excellent","dem",21,"female","hetero",14,"never married","white",2
188,"poor","dem",46,"male","bisexual/other",16,"married","other",100
189,"good","other",21,"female","hetero",14,"never married","white",NA
191,"good","rep",53,"male","hetero",12,"no longer married","other",120
192,"good","rep",74,"female","hetero",18,"no longer married","white",NA
194,"poor","rep",36,"female","bisexual/other",16,"married","other",55
196,"good","rep",60,"male","bisexual/other",16,"never married","white",100
198,"fair","dem",69,"male","bisexual/other",12,"married","white",23.75
199,"excellent","dem",38,"female","hetero",16,"married","white",67.5
200,"good","rep",48,"female","bisexual/other",14,"married","white",11.25
201,"fair","rep",30,"male","bisexual/other",16,"never married","other",82.5
202,"excellent","dem",29,"male","bisexual/other",13,"never married","white",140
203,"good","dem",68,"female","hetero",16,"married","white",NA
204,"fair","dem",64,"female","bisexual/other",13,"married","white",NA
205,"good","other",43,"male","hetero",16,"married","other",NA
207,"fair","rep",47,"male","bisexual/other",12,"married","white",55
209,"good","dem",50,"male","hetero",16,"married","white",NA
211,"excellent","dem",75,"male","hetero",14,"no longer married","white",NA
213,"poor","dem",77,"female","bisexual/other",10,"no longer married","white",NA
215,"excellent","rep",62,"female","hetero",12,"married","white",NA
216,"good","dem",30,"female","bisexual/other",15,"married","white",18.75
217,"poor","dem",70,"female","hetero",7,"no longer married","other",NA
219,"good","dem",44,"female","bisexual/other",12,"no longer married","other",NA
220,"good","other",33,"female","hetero",12,"married","white",37.5
221,"good","rep",34,"female","hetero",19,"married","white",82.5
222,"fair","dem",46,"female","hetero",16,"married","white",NA
223,"excellent","dem",51,"male","bisexual/other",12,"married","white",NA
224,"fair","dem",28,"male","hetero",14,"never married","black",37.5
225,"excellent","dem",74,"male","bisexual/other",16,"no longer married","other",9
227,"good","dem",49,"male","bisexual/other",11,"married","other",18.75
228,"fair","dem",28,"female","hetero",17,"never married","white",37.5
231,"excellent","rep",51,"female","hetero",15,"no longer married","other",9
233,"good","other",44,"male","hetero",17,"married","black",NA
234,"good","rep",33,"female","bisexual/other",12,"married","white",NA
235,"fair","rep",29,"male","hetero",12,"married","white",37.5
237,"good","rep",62,"female","bisexual/other",10,"no longer married","white",32.5
238,"good","rep",88,"female","hetero",12,"no longer married","white",NA
240,"excellent","other",28,"female","bisexual/other",13,"married","white",NA
241,"good","rep",58,"female","hetero",14,"married","white",37.5
242,"good","other",26,"male","hetero",13,"never married","white",45
244,"good","other",30,"female","bisexual/other",13,"married","white",37.5
246,"good","dem",24,"female","bisexual/other",12,"never married","other",NA
247,"good","other",29,"male","hetero",12,"never married","other",45
248,"poor","rep",70,"male","hetero",13,"no longer married","white",NA
249,"good","rep",34,"male","hetero",16,"never married","white",NA
250,"good","rep",66,"male","bisexual/other",12,"married","white",NA
251,"good","rep",84,"female","hetero",12,"no longer married","white",NA
255,"fair","dem",88,"male","bisexual/other",10,"no longer married","black",NA
256,"excellent","other",80,"female","bisexual/other",1,"no longer married","other",NA
257,"fair","rep",36,"male","hetero",12,"never married","other",32.5
258,"good","dem",33,"female","bisexual/other",16,"never married","white",NA
259,"good","rep",81,"male","bisexual/other",16,"no longer married","white",NA
261,"excellent","dem",69,"female","bisexual/other",16,"married","white",NA
262,"excellent","dem",26,"male","bisexual/other",16,"never married","white",13.75
265,"good","rep",61,"female","bisexual/other",16,"married","white",32.5
267,"good","dem",58,"male","hetero",16,"no longer married","white",82.5
269,"good","dem",36,"male","hetero",16,"never married","black",67.5
270,"fair","dem",27,"female","bisexual/other",12,"never married","white",37.5
271,"good","dem",51,"male","bisexual/other",12,"never married","other",45
