state,fipscode,county,population,hispanic,minority,female,unemployed,income,nodegree,bachelor,inactivity,obesity,density,cancer,votergap,trump,clinton
Colorado,8117,Summit County,27239,15.173,4.918,45.996,2.5,68352,5.4,48.1,8.1,13.1,46,46.2,-27.632,31.53,59.162
Colorado,8037,Eagle County,53653,30.04,5.169,47.231,3.1,76661,10.1,47.3,9.4,11.8,31,47.1,-19.897,36.058,55.955
Idaho,16067,Minidoka County,19226,34.07,5.611,49.318,3.7,46332,24.1,11.8,18.3,34.2,80,61.8,54.148,71.135,16.987
Colorado,8113,San Miguel County,7558,10.154,4.747,46.808,3.7,59603,4.7,54.4,12.4,16.7,5.7,62.6,-44.769,23.892,68.662
Utah,49051,Wasatch County,21600,13.244,4.125,48.812,3.4,65207,9.5,34.4,13.9,23,257.8,68.3,25.357,50.471,25.114
Virginia,51685,Manassas Park city,12042,37.079,31.044,48.894,4.2,73065,18.9,26.3,21.1,28.3,5633.1,69.8,-28.5,33.218,61.718
Georgia,13053,Chattahoochee County,14402,15.676,28.352,31.624,8.8,45933,7,31.5,24.5,27.3,45.3,70,11.055,53.902,42.847
Colorado,8097,Pitkin County,16043,9.782,4.526,47.85,3.8,73274,5.2,56.4,8.9,14.9,17.7,70.8,-45.413,24.28,69.693
Utah,49007,Carbon County,19989,13.409,5.205,50.325,5.6,47340,13,13,25.2,26.6,96.7,71.3,44.186,66.044,21.858
Colorado,8051,Gunnison County,15350,9.392,5.794,46.02,2.9,48940,5.5,54.4,11.2,14.8,4.7,79.6,-19.55,34.95,54.5
Utah,49053,Washington County,137473,10.127,6.289,50.5,4,50169,7.8,27.1,17.1,23.7,20,81.2,51.422,68.565,17.143
Idaho,16083,Twin Falls County,75296,15.579,5.695,50.538,3.6,44236,15.2,16.9,22.3,27.6,22.6,82.1,44.583,66.043,21.459
Utah,49045,Tooele County,58335,11.828,5.677,49.476,4.1,64193,8.6,20.6,20.6,31.7,19.4,82.5,30.034,51.272,21.238
Virginia,51107,Loudoun County,301171,13.554,30.197,50.352,3.6,122641,6.5,58,17.7,21.6,605.8,85.7,-16.795,38.628,55.423
California,6051,Mono County,12927,27.666,8.685,46.617,6.1,59181,15.7,33.3,15.8,22.8,4.7,86,-11.363,40.214,51.577
Utah,49013,Duchesne County,17948,8.23,8.499,49.142,7.3,61976,13.5,15.4,24.7,27.6,1025.8,86.6,72.201,79.414,7.213
Colorado,8035,Douglas County,288225,8.485,8.948,50.319,3.1,107250,2.6,55.9,9.9,17,339.7,87.1,18.114,54.767,36.653
Colorado,8107,Routt County,23469,7.045,3.726,47.617,3.2,66846,3.5,48.7,12.2,14.3,10,92.5,-16.976,37.387,54.364
Kansas,20163,Rooks County,4984,2.88,3.131,51.585,4.6,48383,7.8,21.6,30.3,32.8,116.6,94.4,72.582,84.062,11.48
Texas,48217,Hill County,35840,20.339,9.855,50.736,4.6,41521,20.9,14.6,23.7,28.7,493.2,94.7,58.422,78.064,19.642
Texas,48481,Wharton County,41000,40.382,16.273,50.767,4.4,44110,24.3,13.8,27.5,31.9,74.5,96,40.192,69.008,28.816
Texas,48123,DeWitt County,19713,34.212,12.348,47.646,4,45717,23.8,13.3,29.6,30.6,754.3,96.2,63.75,80.768,17.018
Arizona,4005,Coconino County,129849,13.926,33.601,50.588,6.6,48653,12.2,32.8,14.2,23.2,7.2,97,-19.442,36.887,56.329
Texas,48087,Collingsworth County,3058,32.983,11.465,52.037,3.6,38655,21,18.7,25,28,930,97.6,72.617,85.182,12.565
Texas,48159,Franklin County,10841,13.989,7.802,50.653,5,42099,15.7,22,28.5,26.9,679.5,97.8,66.988,82.254,15.266
Texas,48043,Brewster County,9481,43.39,6.506,50.487,4,40179,13.2,36.3,26.2,27.7,332.8,98.1,4.827,49.053,44.226
Georgia,13135,Gwinnett County,808167,20.489,42.966,51.025,5.1,59858,12.7,34.4,19.9,29.5,1871.2,98.3,-5.742,45.214,50.956
Utah,49047,Uintah County,31536,8.329,11.604,49.156,6.6,65489,12.6,16.6,21.7,27.6,8.4,98.8,68.877,76.648,7.771
Virginia,51153,Prince William County,379166,22.288,36.286,50.09,4.1,91886,10.4,38.1,16.9,25.5,1195,98.9,-20.039,37.324,57.363
Texas,48507,Zavala County,11585,93.094,3.253,49.407,11.1,26336,40.4,8.5,23,27.4,14,99.2,-57.257,20.413,77.67
Wyoming,56001,Albany County,33979,9.44,8.792,47.708,3.1,42838,4.2,48.8,15.1,23.3,8.5,99.2,4.342,46.291,41.949
Texas,48455,Trinity County,13897,9.526,12.595,51.486,6,36645,17,10.8,24.8,27.4,1034.4,99.6,59.896,79.188,19.291
Utah,49037,San Juan County,15049,5.415,50.748,50.52,7.8,40590,17.1,18.8,22.2,26.7,1387.1,101,24.668,54.987,30.318
Virginia,51660,Harrisonburg city,45137,18.59,16.299,51.96,5.3,38541,16.2,35.6,18,24.8,2808.2,101.3,-21.862,35.223,57.085
Georgia,13179,Liberty County,62186,12.472,49.426,48.432,6.3,41682,9.8,19.5,26.3,34.9,129.5,102.3,-21.179,38.086,59.265
South Dakota,46085,Lyman County,3891,2.27,42.234,47.42,4.8,40639,10.7,19.1,22.5,33.5,77.7,102.9,42.787,68.754,25.968
Colorado,8049,Grand County,13911,8.402,4.372,46.863,3.2,59379,5,36.3,12.4,17.4,8,103,13.485,52.473,38.987
Virginia,51015,Augusta County,72020,2.59,6.46,49.361,4.1,57808,14.3,21.2,25.3,34,7993.5,103.4,49.219,71.335,22.116
Washington,53021,Franklin County,77355,52.393,9.277,48.136,7.5,55006,28.1,15.4,17.3,30.1,62.9,104.2,18.022,56.095,38.073
Wyoming,56039,Teton County,20710,15.018,4.778,48.368,3.8,75348,4.3,51.9,10.8,12.7,5.3,104.7,-27.866,32.194,60.061
Colorado,8045,Garfield County,56298,28.061,5.787,49.002,4.1,62529,14.7,29.3,13.6,20,19.1,105.1,7.088,49.647,42.559
Georgia,13117,Forsyth County,174520,9.602,16.267,50.232,4.4,86413,8.4,44.6,20.4,29.4,783.5,105.5,47.654,71.728,24.074
Utah,49025,Kane County,6601,4.487,4.347,49.586,4.4,48456,4.2,25.6,21.1,26.1,3,105.6,43.337,64.561,21.223
Utah,49023,Juab County,10244,4.493,3.776,48.754,3.9,55204,10,16.3,21.2,28,14,105.9,56.992,67.689,10.697
Wyoming,56035,Sublette County,8792,7.607,5.394,46.247,5.1,77222,5.3,23.6,16.5,23.5,2.1,106.4,64.347,79.334,14.987
Utah,49049,Utah County,545307,11.398,6.683,49.529,3.2,60957,6.5,36.9,14.3,24.4,7.3,106.5,37.584,51.502,13.918
Colorado,8025,Crowley County,6403,30.654,16.864,28.479,4.5,32570,24.5,10.5,19.7,21.6,7.4,106.7,48.511,70.748,22.237
Idaho,16053,Jerome County,21262,34.672,5.089,49.246,3.3,46513,29.4,13.3,21.8,33.3,23.9,106.8,49.03,68.876,19.846
Illinois,17095,Knox County,51648,5.624,11.88,49.795,6.2,38992,13.1,17.6,24.8,26.2,358.2,107.9,3.274,48.525,45.251
Virginia,51683,Manassas city,36514,34.724,26.655,49.83,4.1,72510,17.3,29.1,20.1,28.7,3827.8,108.4,-16.18,39.014,55.194
Texas,48379,Rains County,11287,8.458,6.46,49.754,4.6,47834,16.7,11.4,26.4,29.7,2,108.5,71.274,84.644,13.369
California,6031,Kings County,148764,53.63,18.719,44.792,10.5,44490,29.1,12.5,20.4,26.4,110.1,108.9,17.368,55.999,38.63
Utah,49039,Sanpete County,25946,9.542,5.761,47.766,4.1,44644,10.7,20.3,19.7,25.4,1.9,109,55.328,65.821,10.493
Texas,48493,Wilson County,40749,39.036,4.819,49.747,3.8,62752,15.5,18.5,21.7,31.4,378,109.3,47.785,72.662,24.877
Wyoming,56037,Sweetwater County,41226,15.829,5.846,48.145,4.6,72604,9.5,18.1,26,31.7,4.2,110,53.538,72.943,19.405
Minnesota,27141,Sherburne County,87832,2.469,5.785,48.924,4,76512,6.4,26.2,18.2,28.8,364.5,110.7,37.027,64.769,27.742
Utah,49031,Piute County,1431,7.844,3.362,49.308,6.4,37730,16.4,17.4,21.1,26.1,15.5,111.4,82.01,87.034,5.024
Texas,48211,Hemphill County,3463,33.888,3.565,49.39,3.2,66505,18.5,22.2,25.6,26.8,231.7,111.6,75.815,86.544,10.729
Texas,48429,Stephens County,9632,23.316,5.498,47.934,4.2,44110,19.3,16.5,24.1,27,49.8,111.8,77.758,87.837,10.078
Virginia,51059,Fairfax County,1037605,16.359,33.875,50.484,3.6,110507,8.1,59.2,15.6,20.3,2766.8,112,-36.225,29.075,65.3
Colorado,8065,Lake County,8046,37.689,6.079,46.266,3.8,46765,7.4,30.3,15.1,17.5,19.4,112.4,-10.583,39.811,50.394
New Mexico,35033,Mora County,4935,80.222,6.31,47.824,9.7,27627,19.8,8,23.9,22.6,13.1,112.9,-35.785,27.198,62.983
Idaho,16015,Boise County,7445,3.712,5.115,48.81,6.2,50874,8.9,24.8,21.8,22.4,8.1,113,49.738,70.121,20.383
