hotdog,width,length,brand
1,0.8,5.4,oldneighborhood
1,0.8,6,hebrewnational
1,0.85,5.75,ballparkbunlength
1,0.6,5.5,oscarmeyer
1,0.8,6.5,ballparkbunlength
1,1,5.5,nathan's
1,0.75,5.6,kayem
1,1,12,footlong
0,1.2,5,italian sausage
0,1.5,5,dillpickle
0,1.5,8,banana
0,2,10,cornonthecob
0,0.4,2,viennasausage
0,0.5,12,cowtail
0,0.2,9,twizzlers
0,1.75,7,churro
0,0.3,8,slimjim
0,0.6,5,stringcheese
0,1.1,6.5,freezepop
0,0.6,7,pretzelrod
0,1.3,6,taquito
0,0.8,8,carrot
0,0.7,5,twix bar
