,TrackName,ArtistName,ExplicitLanguage
1,Senorita,Shawn Mendes,TRUE
2,China,Anuel AA,FALSE
3,boyfriend (with Social House),Ariana Grande,TRUE
4,Beautiful People (feat. Khalid),Ed Sheeran,FALSE
5,Goodbyes (Feat. Young Thug),Post Malone,FALSE
6,I Don't Care (with Justin Bieber),Ed Sheeran,FALSE
7,Ransom,Lil Tecca,TRUE
8,How Do You Sleep?,Sam Smith,FALSE
9,Old Town Road - Remix,Lil Nas X,TRUE
10,bad guy,Billie Eilish,TRUE
11,Callaita,Bad Bunny,FALSE
12,Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,TRUE
13,Someone You Loved,Lewis Capaldi,FALSE
14,Otro Trago - Remix,Sech,FALSE
15,Money In The Grave (Drake ft. Rick Ross),Drake,TRUE
16,No Guidance (feat. Drake),Chris Brown,TRUE
17,LA CANCIÓN,J Balvin,TRUE
18,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,FALSE
19,Lalala,Y2K,TRUE
20,Truth Hurts,Lizzo,TRUE
21,Piece Of Your Heart,MEDUZA,TRUE
22,Panini,Lil Nas X,FALSE
23,No Me Conoce - Remix,Jhay Cortez,FALSE
24,Soltera - Remix,Lunay,FALSE
25,bad guy (with Justin Bieber),Billie Eilish,TRUE
26,If I Can't Have You,Shawn Mendes,FALSE
27,Dance Monkey,Tones and I,TRUE
28,It's You,Ali Gatie,TRUE
29,Con Calma,Daddy Yankee,FALSE
30,QUE PRETENDES,J Balvin,TRUE
31,Takeaway,The Chainsmokers,TRUE
32,7 rings,Ariana Grande,FALSE
33,0.958333333,Maluma,FALSE
34,The London (feat. J. Cole & Travis Scott),Young Thug,TRUE
35,Never Really Over,Katy Perry,TRUE
36,Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,FALSE
37,Otro Trago,Sech,TRUE
38,Antisocial (with Travis Scott),Ed Sheeran,TRUE
39,Sucker,Jonas Brothers,FALSE
40,"[damn], i'm lonely (with Anne-Marie) - from 13 Reasons Why: Season 3",Lauv,TRUE
41,Higher Love,Kygo,TRUE
42,You Need To Calm Down,Taylor Swift,FALSE
43,Shallow,Lady Gaga,FALSE
44,Talk,Khalid,TRUE
45,Con Altura,ROSALÍA,TRUE
46,One Thing Right,Marshmello,FALSE
47,Te Robaré,Nicky Jam,TRUE
48,Happier,Marshmello,FALSE
49,Call You Mine,The Chainsmokers,TRUE
50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,FALSE
