title,year,recipients,num_recipients,motivation
The Nobel Prize in Physics,2017,"['Rainer Weiss', 'Barry C. Barish', 'Kip S. Thorne']",3,“for decisive contributions to the LIGO detector and the observation of gravitational waves”
The Nobel Prize in Chemistry,2017,"['Jacques Dubochet', 'Joachim Frank', 'Richard Henderson']",3,“for developing cryo-electron microscopy for the high-resolution structure determination of biomolecules in solution”
The Nobel Prize in Physiology or Medicine,2017,"['Jeffrey C. Hall', 'Michael Rosbash', 'Michael W. Young']",3,“for their discoveries of molecular mechanisms controlling the circadian rhythm”
The Nobel Prize in Literature,2017,['Kazuo Ishiguro'],1,"“who, in novels of great emotional force, has uncovered the abyss beneath our illusory sense of connection with the world”"
The Nobel Peace Prize,2017,['International Campaign to Abolish Nuclear Weapons (ICAN) '],1,“for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2017,['Richard H. Thaler'],1,“for his contributions to behavioural economics”
The Nobel Prize in Physics,2016,"['David J. Thouless', 'F. Duncan M. Haldane', 'J. Michael Kosterlitz']",3,“for theoretical discoveries of topological phase transitions and topological phases of matter”
The Nobel Prize in Chemistry,2016,"['Jean-Pierre Sauvage', 'Sir J. Fraser Stoddart', 'Bernard L. Feringa']",3,“for the design and synthesis of molecular machines”
The Nobel Prize in Physiology or Medicine,2016,['Yoshinori Ohsumi'],1,“for his discoveries of mechanisms for autophagy”
The Nobel Prize in Literature,2016,['Bob Dylan'],1,“for having created new poetic expressions within the great American song tradition”
The Nobel Peace Prize,2016,['Juan Manuel Santos'],1,“for his resolute efforts to bring the country’s more than 50-year-long civil war to an end”
The Sveriges Riksbank Prize in Economic Sciences in Memory of Alfred Nobel,2016,"['Oliver Hart', 'Bengt Holmström']",2,“for their contributions to contract theory”
The Nobel Prize in Physics,2015,"['Takaaki Kajita', 'Arthur B. McDonald']",2,"“for the discovery of neutrino oscillations, which shows that neutrinos have mass”"
The Nobel Prize in Chemistry,2015,"['Tomas Lindahl', 'Paul Modrich', 'Aziz Sancar']",3,“for mechanistic studies of DNA repair”
The Nobel Prize in Physiology or Medicine,2015,"['William C. Campbell', 'Satoshi Ōmura', 'Youyou Tu']",3,“for their discoveries concerning a novel therapy against infections caused by roundworm parasites”
The Nobel Prize in Literature,2015,['Svetlana Alexievich'],1,"“for her polyphonic writings, a monument to suffering and courage in our time”"
The Nobel Peace Prize,2015,['National Dialogue Quartet '],1,“for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011”
